2024-03-18 21:40:44.088 [info] Default formatter is set to null for workspace /workspace/info2602a2
2024-03-18 21:40:44.139 [info] Test server listening.
2024-03-18 21:40:44.263 [info] > ~/.pyenv/shims/python -I /workspace/.vscode-remote/extensions/ms-python.python-2024.2.1-universal/pythonFiles/get_output_via_markers.py /workspace/.vscode-remote/extensions/ms-python.python-2024.2.1-universal/pythonFiles/interpreterInfo.py
2024-03-18 21:40:44.367 [info] Python interpreter path: ~/.pyenv/shims/python
2024-03-18 21:40:46.706 [info] Starting Jedi language server for info2602a2.
2024-03-18 21:46:33.064 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:46:35.020 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:46:38.036 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:00.980 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:08.323 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:13.745 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:17.585 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:19.712 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:27.486 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:53.246 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:47:58.140 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:48:06.752 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:48:11.599 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:48:18.124 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:48:23.552 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-18 21:49:07.435 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:50:32.119 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:50:54.657 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:51:01.515 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:51:12.014 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:51:14.208 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:51:15.375 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:51:47.677 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:51:55.375 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:52:07.944 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:52:49.495 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:52:56.475 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:07.172 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:09.089 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:16.738 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:21.010 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:32.311 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:46.103 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:48.147 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:53:49.800 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:57:38.865 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:57:39.974 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:59:20.082 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:59:23.484 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:59:25.203 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-18 21:59:26.374 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
