2024-03-21 01:20:02.552 [info] Default formatter is set to null for workspace /workspace/info2602a2
2024-03-21 01:20:02.555 [info] Test server listening.
2024-03-21 01:20:02.604 [info] > ~/.pyenv/shims/python -I /workspace/.vscode-remote/extensions/ms-python.python-2024.2.1-universal/pythonFiles/get_output_via_markers.py /workspace/.vscode-remote/extensions/ms-python.python-2024.2.1-universal/pythonFiles/interpreterInfo.py
2024-03-21 01:20:02.687 [info] Python interpreter path: ~/.pyenv/shims/python
2024-03-21 01:20:05.295 [info] Starting Jedi language server for info2602a2.
2024-03-21 01:24:51.179 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-21 01:24:54.296 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/wsgi.py
2024-03-21 01:25:33.946 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:25:39.957 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:25:43.305 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:25:48.724 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:26:18.500 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:26:19.948 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:26:28.772 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:27:28.456 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:27:31.283 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:28:35.129 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:28:37.877 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:29:02.603 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:29:11.294 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
2024-03-21 01:29:19.519 [info] Discover tests for workspace name: info2602a2 - uri: /workspace/info2602a2/App/app.py
